,team1,team2,date,score,winner,elo1,elo2
11412,lynn vision,tsg,2020-09-29 08:00:00+00:00,2 - 1,lynn vision,1630.686959474584,1400.0
11413,big,spirit,2020-09-29 12:00:00+00:00,2 - 0,big,1842.9848634363375,1773.8931243909071
11414,nordavind,singularity,2020-09-29 18:45:00+00:00,0 - 1,singularity,1451.3912903777011,1343.2212421915824
11415,skade,sprout,2020-09-29 17:30:00+00:00,1 - 0,skade,1479.025581124886,1744.082069586255
11416,fate,galaxy racer,2020-09-29 16:15:00+00:00,1 - 0,fate,1420.5177791338256,1437.1979007172638
11417,gamerlegion,avez,2020-09-29 16:15:00+00:00,1 - 0,gamerlegion,1410.9854353506437,1551.0972222098358
11418,endpoint,singularity,2020-09-29 16:15:00+00:00,1 - 0,endpoint,1506.3276266402875,1343.2212421915824
11419,nemiga,gamerlegion,2020-09-29 15:00:00+00:00,0 - 1,gamerlegion,1604.81500760201,1410.9854353506437
11420,alternate attax,sprout,2020-09-29 15:00:00+00:00,0 - 1,sprout,1568.88138824862,1744.082069586255
11421,nordavind,secret,2020-09-29 15:00:00+00:00,0 - 1,secret,1451.3912903777011,1621.4479831558083
11422,heretics,ucam,2020-09-29 16:00:00+00:00,2 - 0,heretics,1612.5209762366583,1396.6737260117395
11423,saw,gtz bulls,2020-09-29 18:30:00+00:00,2 - 0,saw,1601.2799668157047,1330.2695807114717
11424,fate,singularity,2020-09-29 17:30:00+00:00,1 - 0,fate,1420.5177791338256,1343.2212421915824
11425,plmix,los kogutos,2020-09-29 19:30:00+00:00,0 - 1,los kogutos,1334.8299664806798,1369.3285772081306
11426,los kogutos,plmix,2020-09-29 18:30:00+00:00,1 - 0,los kogutos,1369.3285772081306,1334.8299664806798
11427,wisla krakow,ago,2020-09-29 17:30:00+00:00,1 - 0,wisla krakow,1590.1969016858015,1573.816037026382
11428,ago,wisla krakow,2020-09-29 16:30:00+00:00,0 - 1,wisla krakow,1573.816037026382,1590.1969016858015
11429,zerozone,saw,2020-09-29 14:00:00+00:00,0 - 2,saw,1470.7772818953267,1601.2799668157047
11430,natus vincere,mousesports,2020-09-29 15:30:00+00:00,2 - 1,natus vincere,1796.1540060450445,1567.4385203608135
11431,complexity,ence,2020-09-29 19:00:00+00:00,2 - 1,complexity,1720.2032319998461,1627.969082104834
11432,rebirth,ex-polar ace,2020-09-30 01:45:00+00:00,1 - 0,rebirth,1384.5389663335347,1412.6795857930786
11433,new england whalers,ex-recon 5,2020-09-30 00:30:00+00:00,1 - 0,new england whalers,1532.771855985819,1349.9861388720615
11434,teamone,depth,2020-09-29 23:15:00+00:00,1 - 0,teamone,1581.3969575887143,1362.4918715078522
11435,keyd,e-galo,2020-09-29 23:30:00+00:00,2 - 1,keyd,1298.6577252494862,1320.0785518848897
11436,9z,real betis sa,2020-09-29 20:20:00+00:00,2 - 1,9z,1488.5359306782568,1305.9128154388695
11437,triumph,pain,2020-09-29 21:00:00+00:00,2 - 0,triumph,1472.3804919017819,1504.5125179796166
11438,undead,furious,2020-09-30 01:30:00+00:00,0 - 1,furious,1393.2854503146737,1367.338859151452
11439,wygers ar,malvinas,2020-09-29 23:10:00+00:00,0 - 1,malvinas,1321.798678011029,1420.8110126685242
11440,coscu army,new pampas,2020-09-30 00:20:00+00:00,1 - 0,coscu army,1385.7946957565432,1356.5012030261873
